,Rapport de la masse monétaire sur les réserves totales,"Total des réserves (comprend l’or, $ US courants)",Total des réserves (% de la dette extérieure totale),"Balance des paiements courants (BDP, $ US courants)",Total des réserves sans l’or ($ US courants),Ratio des réserves liquides/actif des banques (%),Dette à court terme (% des réserves totales),"Variations des réserves nettes (BDP, $ US courants)",Total des réserves en mois d’importations
2005,4.131341758,131200257.9,1.228008017,-388600000,131200257.9,9.29865344,285.0893452,-42917866.12,0.4045332858
2006,5.55743845,154503797.2,1.36411482,47800000,154503797.2,12.60993356,328.1430497,-1178097.551,0.4842240764
2007,6.485162662,180677437,1.450121512,527000000,180677437,19.50322338,341.4404939,69616103.1,0.3141669918
2008,21.59390394,77733370.44,0.5890495035,-151000000,77733370.44,13.52267953,840.9161835,138755188.5,0.1052489558
2009,1.749150704,1035381388,7.346757658,-1123100000,1035381388,8.687727916,59.77774122,479507086.7,1.641053038
2010,1.678644466,1299652041,17.9593236,-2173500000,1299652041,11.00649182,33.4710354,-10649807910,1.307168258
2011,2.060354237,1267500303,18.99240814,-1280602281,1267500303,14.28090787,17.66639077,-165319260.1,1.163641307
2012,1.929745362,1632551644,23.60628612,-1260461518,1632551644,14.92183178,15.83373291,347442419.7,1.62246319
2013,2.229165369,1678465312,22.28305807,-3108803236,1678465312,14.97009924,26.32246119,38111096.2,1.226023079
2014,2.738538135,1556982978,21.44638038,-1722614687,1556982978,13.77877433,11.74268641,-75033082.89,1.13228606
2015,3.832622733,1215934551,17.1114887,-1483759412,1215934551,14.15031374,13.56980242,-285113431.1,1.043026644
2016,7.344878144,708160749.2,10.41479394,-1504159532,708160749.2,10.83320243,30.34565815,-516122981.4,0.5715445269
2017,6.928557155,695398162,10.04973168,-1241424116,695398162,8.48490764,26.41474625,59108326.07,0.5895006428
2018,8.876782439,665272095,9.713362827,-1672321587,665272095,11.74970125,31.41250091,150252574.5,0.4082292826
2019,,1194373485,15.78008539,-1693232061,1194373485,16.26097127,31.97977258,316839914.8,0.7787867946
2020,,747655324.3,9.161072848,-1052131626,747655324.3,8.093721393,48.39289827,-607399994.8,0.5601336876
2021,,3467115961,33.70008846,-587406970.4,3467115961,11.53344054,13.09581076,2323010112,1.709804378
2022,,,,,,,,,
